unique_fov,Marker,r,Theoretical G,Observed G,Permuted G,Degree of Clustering Permutation,Degree of Clustering Theoretical,Run
Lung9_Rep1_F02,a,190,0.9612459965092156,0.9874476987447699,0.9609250732337483,0.02652262551102158,0.02620170223555429,1
Lung9_Rep1_F02,a,200,0.9727222943738946,0.989406779661017,0.9719589197360059,0.017447859925011078,0.016684485287122408,1
Lung9_Rep1_F02,b,0,0,0,0,0,0,1
Lung9_Rep1_F02,b,10,0.00893146529274369,0,0,0,-0.00893146529274369,1
Lung9_Rep1_F02,b,20,0.035250078264151274,0,4.067286257423084e-4,-4.067286257423084e-4,-0.035250078264151274,1
Lung9_Rep1_F02,b,30,0.0775704820553752,0.01532567049808429,0.007317406945208565,0.008008263552875726,-0.06224481155729091,1
Lung9_Rep1_F02,b,40,0.13371856345503375,0.17898832684824903,0.04179501466239268,0.13719331218585634,0.045269763393215284,1
Lung9_Rep1_F02,b,50,0.20091643208344967,0.5226824457593688,0.11795371770635517,0.4047287280530137,0.32176601367591917,1
Lung9_Rep1_F02,b,60,0.27600966576782526,0.7655310621242485,0.2210185480484297,0.5445125140758188,0.4895213963564232,1
Lung9_Rep1_F02,b,70,0.35571100670363265,0.8957055214723927,0.33072241492438076,0.564983106548012,0.53999451476876,1
Lung9_Rep1_F02,b,80,0.4368345123299163,0.9443298969072165,0.4259407579162425,0.518389138990974,0.5074953845773001,1
Lung9_Rep1_F02,b,90,0.516497495268555,0.9561586638830898,0.5106202284687456,0.44553843541434424,0.43966116861453475,1
Lung9_Rep1_F02,b,100,0.5922736303537104,0.9683544303797469,0.588604942981009,0.37974948739873793,0.3760808000260365,1
Lung9_Rep1_F02,b,110,0.662288190078935,0.9787234042553191,0.6629343169093664,0.3157890873459527,0.3164352141763841,1
Lung9_Rep1_F02,b,120,0.7252541934981104,0.9827586206896551,0.7267529046730014,0.2560057160166538,0.25750442719154476,1
Lung9_Rep1_F02,b,130,0.7804551406703599,0.9847161572052402,0.7825172322147703,0.20219892499046987,0.20426101653488027,1
Lung9_Rep1_F02,b,140,0.8276850935568565,0.9844444444444445,0.8293314662253626,0.15511297821908188,0.15675935088758797,1
Lung9_Rep1_F02,b,150,0.8671597143918754,0.9932885906040269,0.8666536058348348,0.1266349847691921,0.1261288762121514,1
Lung9_Rep1_F02,b,160,0.8994124734985487,0.9932432432432432,0.8982696112949835,0.0949736319482597,0.09383076974469451,1
Lung9_Rep1_F02,b,170,0.9251889357732673,0.9954233409610984,0.9248329115667021,0.0705904293943963,0.07023440518783108,1
Lung9_Rep1_F02,b,180,0.9453494026931493,0.9953703703703703,0.9455257256438385,0.04984464472653183,0.050020967677221084,1
Lung9_Rep1_F02,b,190,0.9607868826489335,0.9952718676122931,0.9599264001387224,0.0353454674735707,0.03448498496335961,1
Lung9_Rep1_F02,b,200,0.9723639989073286,0.9952038369304557,0.9703327437815391,0.024871093148916557,0.022839838023127057,1
Lung9_Rep1_F02,c,0,0,0,0,0,0,1
Lung9_Rep1_F02,c,10,0.002102033263476355,0,0,0,-0.002102033263476355,1
Lung9_Rep1_F02,c,20,0.00838165892304188,0,3.1496062992125983e-4,-3.1496062992125983e-4,-0.00838165892304188,1
Lung9_Rep1_F02,c,30,0.0187600095240138,0,0.003036619679031073,-0.003036619679031073,-0.0187600095240138,1
Lung9_Rep1_F02,c,40,0.0331074728391092,0.1557377049180328,0.008751311531066185,0.14698639338696662,0.1226302320789236,1
Lung9_Rep1_F02,c,50,0.05124638585734531,0.32231404958677684,0.02298787750209214,0.2993261720846847,0.27106766372943153,1
Lung9_Rep1_F02,c,60,0.07295469592940917,0.4830508474576271,0.05015681608670109,0.432894031370926,0.41009615152821793,1
Lung9_Rep1_F02,c,70,0.09797048360314708,0.6153846153846154,0.080183712430903,0.5352009029537124,0.5174141317814683,1
Lung9_Rep1_F02,c,80,0.12599721839803246,0.6608695652173913,0.1114170891930666,0.5494524760243247,0.5348723468193588,1
Lung9_Rep1_F02,c,90,0.1567096001869226,0.7090909090909091,0.14486786005018018,0.564223049040729,0.5523813089039865,1
Lung9_Rep1_F02,c,100,0.18975982557126192,0.7247706422018348,0.17767836179234758,0.5470922804094873,0.5350108166305729,1
Lung9_Rep1_F02,c,110,0.224784111013956,0.7314814814814815,0.21456883964612736,0.5169126418353541,0.5066973704675255,1
Lung9_Rep1_F02,c,120,0.26140930265121365,0.7685185185185185,0.2564397624266033,0.5120787560919151,0.5071092158673048,1
